,povezava,ime,avtor,cas_priprave,povprečna_ocena,kategorija
35,'/recepti/juhe-in-zakuhe/ostale-juhe/ribja-juha-s-testeninami/22716/',Ribja juha s testeninami,Pekarna Pečjak,30 min,Unknown,juha
36,'/recepti/juhe-in-zakuhe/mesne-juhe/piscancja-juha-s-tortelini/22698/',Piščančja juha s tortelini,Pekarna Pečjak,1 ura,Unknown,juha
37,'/recepti/juhe-in-zakuhe/hladne-juhe/mandljeva-juha-ajoblanco/22718/',Mandljeva juha ajoblanco,Pekarna Pečjak,2 uri 30 min,Unknown,juha
38,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/jesenska-juhica-s-kvinojo/22747/',Jesenska juhica s kvinojo,Malinca Nastja,1 ura,Unknown,juha
39,'/recepti/juhe-in-zakuhe/mesne-juhe/piscancja-obara-z-zlicniki/1929/',Piščančja obara z žličniki,goga,1 ura 30 min,Unknown,juha
40,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/bucna-kremna-juha/11694/',Bučna kremna juha,morska medvedka,45 min,Unknown,juha
41,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/buckina-kremna-juha/5428/',Bučkina kremna juha,recepti,30 min,Unknown,juha
42,'/recepti/juhe-in-zakuhe/ostale-juhe/fizolova-juha/6801/',Fižolova juha,anja,Unknown,Unknown,juha
43,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/gobova-juha-s-krompirjem/13235/',Gobova juha s krompirjem,magic girl,1 ura 15 min,Unknown,juha
44,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/spargljeva-kremna-juha/9409/',Špargljeva kremna juha,anamarija1,45 min,Unknown,juha
45,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/kremna-porova-juha/4956/',Kremna porova juha,klavdija mustar,Unknown,Unknown,juha
46,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/fizolova-juha/6562/',Fižolova juha,sarabande,Unknown,Unknown,juha
47,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/zelenjavna-juha/1138/',zelenjavna juha,Unknown,Unknown,Unknown,juha
48,'/recepti/juhe-in-zakuhe/ostale-juhe/prezganka/763/',Prežganka,Marinka,Unknown,Unknown,juha
49,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/cemazeva-juha/11308/',Čemaževa juha,karamazov,15 min,Unknown,juha
50,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/koruzna-kremna-juha-mehiska/11014/',Koruzna kremna juha - mehiška,bannanna,45 min,Unknown,juha
51,'/recepti/juhe-in-zakuhe/jusne-zakuhe/zdrobovi-zlicniki/6610/',Zdrobovi žličniki,kalcicl,Unknown,Unknown,juha
52,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/cebulna-juha/11/',Čebulna juha,Marinka,Unknown,Unknown,juha
53,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/zelenjavna-minestra-s-cmocki-/11566/',Zelenjavna mineštra s cmočki ,Taia,1 ura,Unknown,juha
54,'/recepti/juhe-in-zakuhe/mesne-juhe/goveja-juha/13/',Goveja juha,Marinka,Unknown,Unknown,juha
55,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/brokolijeva-kremna-juha/4723/',Brokolijeva kremna juha,ddarinka,Unknown,Unknown,juha
56,'/recepti/juhe-in-zakuhe/mesne-juhe/zdrobovi-cmoki/4491/',Zdrobovi cmoki,sijatjanek,Unknown,Unknown,juha
57,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/cesnova-kremna-juha/14171/',Česnova kremna juha,maičko*,1 ura 30 min,Unknown,juha
58,'/recepti/juhe-in-zakuhe/zelenjavne-juhe/zeljna-juha-za-hujsanje/4405/',Zeljna juha za hujšanje,lenke,Unknown,Unknown,juha
59,'/recepti/juhe-in-zakuhe/ostale-juhe/pasta-s-fizolom/2257/',Pašta s fižolom,Gašper Kukec,Unknown,Unknown,juha
